trp,"speed_range",Count
42289V1126309,"from:15,to:300",78582
99353V625530,"from:0,to:15",29
99353V625530,"from:15,to:300",78753
26581V971445,"from:0,to:15",1960
26581V971445,"from:15,to:300",76629
88187V625613,"from:0,to:15",636
88187V625613,"from:15,to:300",77942
29151V521176,"from:0,to:15",136
29151V521176,"from:15,to:300",78342
60172V180989,"from:0,to:15",1388
60172V180989,"from:15,to:300",76930
74250V319516,"from:0,to:15",3
74250V319516,"from:15,to:300",78024
26093V704634,"from:0,to:15",402
26093V704634,"from:15,to:300",77354
10229V1060056,"from:0,to:15",19
10229V1060056,"from:15,to:300",77441
74537V2744461,"from:0,to:15",277
74537V2744461,"from:15,to:300",76973
10990V804785,"from:0,to:15",21
10990V804785,"from:15,to:300",77213
55265V521064,"from:0,to:15",0
55265V521064,"from:15,to:300",77184
83961V1886010,"from:0,to:15",6254
83961V1886010,"from:15,to:300",70889
96132V805116,"from:0,to:15",1228
96132V805116,"from:15,to:300",75640
11991V121784,"from:0,to:15",576
11991V121784,"from:15,to:300",75718
41316V1175505,"from:0,to:15",2115
41316V1175505,"from:15,to:300",74126
65533V319820,"from:0,to:15",1947
65533V319820,"from:15,to:300",74155
87699V804741,"from:0,to:15",1
87699V804741,"from:15,to:300",75993
33219V320612,"from:0,to:15",429
33219V320612,"from:15,to:300",75497
81631V1727485,"from:0,to:15",0
81631V1727485,"from:15,to:300",75691
28965V443982,"from:0,to:15",752
28965V443982,"from:15,to:300",74908
84170V249428,"from:0,to:15",2237
84170V249428,"from:15,to:300",73239
45730V1175656,"from:0,to:15",2835
45730V1175656,"from:15,to:300",72443
35294V249020,"from:0,to:15",599
35294V249020,"from:15,to:300",74644
99308V444048,"from:0,to:15",256
99308V444048,"from:15,to:300",74835
73355V319671,"from:0,to:15",606
73355V319671,"from:15,to:300",74423
10184V805068,"from:0,to:15",1936
10184V805068,"from:15,to:300",72766
92246V2682281,"from:0,to:15",0
92246V2682281,"from:15,to:300",74540
77223V521180,"from:0,to:15",1031
77223V521180,"from:15,to:300",73285
89755V180856,"from:0,to:15",43
89755V180856,"from:15,to:300",74163
10659V121749,"from:0,to:15",10
10659V121749,"from:15,to:300",73766
37724V1707378,"from:0,to:15",7
37724V1707378,"from:15,to:300",73618
54653V1751052,"from:0,to:15",3
54653V1751052,"from:15,to:300",73572
02087V625292,"from:0,to:15",0
02087V625292,"from:15,to:300",73071
87850V2527472,"from:0,to:15",4
87850V2527472,"from:15,to:300",73002
07717V2682280,"from:0,to:15",0
07717V2682280,"from:15,to:300",72973
72351V1175548,"from:0,to:15",3151
72351V1175548,"from:15,to:300",69374
16488V249020,"from:0,to:15",280
16488V249020,"from:15,to:300",72220
02636V1125920,"from:0,to:15",469
02636V1125920,"from:15,to:300",71640
82998V971817,"from:0,to:15",25
82998V971817,"from:15,to:300",71925
64526V2201224,"from:0,to:15",26
64526V2201224,"from:15,to:300",71895
21358V971791,"from:0,to:15",140
21358V971791,"from:15,to:300",71766
33313V2014318,"from:0,to:15",0
33313V2014318,"from:15,to:300",71514
76076V705275,"from:0,to:15",2192
76076V705275,"from:15,to:300",69159
20790V1885953,"from:0,to:15",185
20790V1885953,"from:15,to:300",71082
22044V521398,"from:0,to:15",149
22044V521398,"from:15,to:300",70999
98981V443748,"from:0,to:15",500
